trip,block_id
2TK3F5J70,5-4
2TK3F5JU0,5-3
2TK3F5Jp0,5-1
2TK3F5KD0,5-2
2TK3F5Kt0,5-3
2TK3F5Lb0,5-2
2TK3F5MJ0,5-3
2TK3F5N00,5-2
2TK3F5Ng0,5-3
2TK3F5ON0,5-2
2TK3F8670,8-5
2TK3F86X0,8-2
2TK3F8700,8-4
2TK3F87Q0,8-1
2TK3F87s0,8-3
2TK3F88J0,8-5
2TK3F88X0,8-6
2TK3F88l0,8-2
2TK3F8910,8-7
2TK3F89F0,8-4
2TK3F89T0,8-8
2TK3F89h0,8-1
2TK3F89v0,8-9
2TK3F8AB0,8-3
2TK3F8AP0,8-6
2TK3F8Ad0,8-5
2TK3F8As0,8-7
2TK3F8B80,8-2
2TK3F8BN0,8-8
2TK3F8Bc0,8-4
2TK3F8Br0,8-9
2TK3F8C70,8-1
2TK3F8CM0,8-6
2TK3F8Cb0,8-3
2TK3F8Cq0,8-7
2TK3F8D60,8-5
2TK3F8DL0,8-8
2TK3F8DZ0,8-2
2TK3F8Do0,8-9
2TK3F8E50,8-4
2TK3F8EK0,8-6
2TK3F8EZ0,8-1
2TK3F8Eo0,8-7
2TK3F8F50,8-3
2TK3F8FK0,8-8
2TK3F8FY0,8-5
2TK3F8Fn0,8-9
2TK3F8G30,8-2
2TK3F8GI0,8-6
2TK3F8GX0,8-4
2TK3F8Gm0,8-7
2TK3F8H30,8-1
2TK3F8HI0,8-8
2TK3F8HX0,8-3
2TK3F8Hl0,8-9
2TK3F8I20,8-5
2TK3F8IG0,8-6
2TK3F8IV0,8-2
2TK3F8Ij0,8-7
2TK3F8Ix0,8-4
2TK3F8JD0,8-8
2TK3F8JR0,8-1
2TK3F8Jf0,8-9
2TK3F8Jt0,8-3
2TK3F8K90,8-6
2TK3F8KN0,8-5
2TK3F8Ka0,8-7
2TK3F8Ko0,8-2
2TK3F8L30,8-8
2TK3F8LG0,8-4
2TK3F8Lh0,8-1
2TK3F8MA0,8-3
2TK3F8Mb0,8-5
2TK3F8N40,8-2
2TK3F8NT0,8-4
2TK3F8Ns0,8-1
2TK3F8OL0,8-3
2Ul1BLUE59n,1-8
2Ul1BLUE5Gn,162-1
2Ul1BLUE5Nn,1-1
2Ul1BLUE5Tn,74-1
2Ul1BLUE5Zw,1-2
2Ul1BLUE5fw,8-1
2Ul1BLUE5lw,1-4
2Ul1BLUE5rw,1-7
2Ul1BLUE5xw,1-10
2Ul1BLUE65w,1-6
2Ul1BLUE6Bw,1-16
2Ul1BLUE6Gw,1-12
2Ul1BLUE6Lw,1-20
2Ul1BLUE6Pw,8-12
2Ul1BLUE6Uw,1-17
2Ul1BLUE6Vw,1-30
2Ul1BLUE6Zw,1-18
2Ul1BLUE6dw,1-34
2Ul1BLUE6ew,1-19
2Ul1BLUE6iw,1-5
2Ul1BLUE6lw,162-5
2Ul1BLUE6mw,1-22
2Ul1BLUE6qw,1-3
2Ul1BLUE6u8,1-39
2Ul1BLUE6v8,16-7
2Ul1BLUE718,162-2
2Ul1BLUE748,1-11
2Ul1BLUE758,1-42
2Ul1BLUE788,1-9
2Ul1BLUE7B8,1-13
2Ul1BLUE7C8,11-2
2Ul1BLUE7G8,1-28
2Ul1BLUE7J8,1-46
2Ul1BLUE7K8,1-15
2Ul1BLUE7N8,1-29
